Time (s)	WE(1).Current (A)	WE(1).Potential (V)	Scan
187.460065526709	-6.414794921875E-05	-1.5655517578125	3
187.484465526647	-6.4300537109375E-05	-1.5673828125	3
187.508865526586	-6.4361572265625E-05	-1.5704345703125	3
187.533265526524	-6.451416015625E-05	-1.572265625	3
187.557665526462	-6.4666748046875E-05	-1.5740966796875	3
187.582065526401	-6.4849853515625E-05	-1.5771484375	3
187.606465526339	-6.5093994140625E-05	-1.57928466796875	3
187.630865526278	-6.5185546875E-05	-1.58203125	3
187.655265526216	-6.5521240234375E-05	-1.58447265625	3
187.679665526154	-6.5765380859375E-05	-1.5863037109375	3
187.704065526093	-6.6070556640625E-05	-1.58935546875	3
187.728465526031	-6.646728515625E-05	-1.59210205078125	3
187.75286552597	-6.67724609375E-05	-1.5948486328125	3
187.777265525908	-6.732177734375E-05	-1.59698486328125	3
187.801665525846	-6.787109375E-05	-1.59820556640625	3
187.826065525785	-6.8389892578125E-05	-1.6015625	3
187.850465525723	-6.9122314453125E-05	-1.60400390625	3
187.874865525662	-6.9671630859375E-05	-1.60675048828125	3
187.8992655256	-7.0526123046875E-05	-1.60888671875	3
187.923665525538	-7.1319580078125E-05	-1.61163330078125	3
187.948065525477	-7.2235107421875E-05	-1.61376953125	3
187.972465525415	-7.3333740234375E-05	-1.6162109375	3
187.996865525354	-7.4462890625E-05	-1.6180419921875	3
188.021265525292	-7.574462890625E-05	-1.62109375	3
188.04566552523	-7.708740234375E-05	-1.62353515625	3
188.070065525169	-7.8460693359375E-05	-1.6265869140625	3
188.094465525107	-8.013916015625E-05	-1.62811279296875	3
188.118865525046	-8.2000732421875E-05	-1.630859375	3
188.143265524984	-8.3770751953125E-05	-1.63330078125	3
188.167665524922	-8.5662841796875E-05	-1.6357421875	3
188.192065524861	-8.7677001953125E-05	-1.63818359375	3
188.216465524799	-9.0057373046875E-05	-1.640625	3
188.240865524738	-9.234619140625E-05	-1.64306640625	3
188.265265524676	-9.4879150390625E-05	-1.64581298828125	3
188.289665524614	-9.7564697265625E-05	-1.6473388671875	3
188.314065524553	-0.0001002197265625	-1.6497802734375	3
188.338465524491	-0.000103240966796875	-1.65283203125	3
188.362865524429	-0.00010626220703125	-1.65496826171875	3
188.387265524368	-0.000109527587890625	-1.65771484375	3
188.411665524306	-0.00011309814453125	-1.65985107421875	3
188.436065524245	-0.000116180419921875	-1.6619873046875	3
188.460465524183	-0.000119781494140625	-1.6650390625	3
188.484865524121	-0.000123443603515625	-1.66748046875	3
188.50926552406	-0.00012713623046875	-1.669921875	3
188.533665523998	-0.000130828857421875	-1.67236328125	3
188.558065523937	-0.00013470458984375	-1.67449951171875	3
188.582465523875	-0.000138763427734375	-1.67694091796875	3
188.606865523813	-0.000142669677734375	-1.67938232421875	3
188.631265523752	-0.000146820068359375	-1.68212890625	3
188.65566552369	-0.0001507568359375	-1.68487548828125	3
188.680065523629	-0.00015484619140625	-1.68701171875	3
